#,Jugadores,Posicion,Edad,Nacido,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €,Pais
23,Emiliano Martínez,Portero,30,02/09/1992,"1,95",derecho,18.0,-,04/06/2021,25000000,Argentina
12,Gerónimo Rulli,Portero,31,20/05/1992,"1,89",derecho,4.0,-,08/09/2018,10000000,Argentina
1,Franco Armani,Portero,36,16/10/1986,"1,89",derecho,18.0,-,26/06/2018,3200000,Argentina
13,Cristian Romero,Defensa central,25,27/04/1998,"1,85",derecho,12.0,1,04/06/2021,55000000,Argentina
16,Lisandro Martínez,Defensa central,25,18/01/1998,"1,75",izquierdo,9.0,-,22/03/2019,50000000,Argentina
-,Facundo Medina,Defensa central,24,28/05/1999,"1,84",izquierdo,2.0,-,13/10/2020,15000000,Argentina
-,Nehuén Pérez,Defensa central,23,24/06/2000,"1,84",derecho,1.0,-,24/09/2022,8000000,Argentina
6,Germán Pezzella,Defensa central,32,27/06/1991,"1,87",derecho,31.0,2,11/11/2017,5000000,Argentina
19,Nicolás Otamendi,Defensa central,35,12/02/1988,"1,83",derecho,92.0,4,20/05/2009,3000000,Argentina
3,Nicolás Tagliafico,Lateral izquierdo,30,31/08/1992,"1,72",izquierdo,42.0,-,09/06/2017,9000000,Argentina
26,Nahuel Molina,Lateral derecho,25,06/04/1998,"1,75",derecho,19.0,-,03/06/2021,18000000,Argentina
4,Gonzalo Montiel,Lateral derecho,26,01/01/1997,"1,76",derecho,18.0,-,22/03/2019,12000000,Argentina
18,Guido Rodríguez,Pivote,29,12/04/1994,"1,85",derecho,25.0,1,09/06/2017,28000000,Argentina
5,Leandro Paredes,Pivote,29,29/06/1994,"1,80",derecho,45.0,4,13/06/2017,15000000,Argentina
7,Rodrigo de Paul,Mediocentro,29,24/05/1994,"1,80",derecho,43.0,2,11/10/2018,35000000,Argentina
24,Enzo Fernández,Mediocentro,22,17/01/2001,"1,78",derecho,2.0,-,24/09/2022,35000000,Argentina
15,Alexis Mac Allister,Mediocentro,24,24/12/1998,"1,74",derecho,7.0,-,06/09/2019,32000000,Argentina
-,Giovani Lo Celso,Mediocentro,27,09/04/1996,"1,77",izquierdo,41.0,2,11/11/2017,22000000,Argentina
-,Thiago Almada,Mediocentro ofensivo,22,26/04/2001,"1,71",derecho,1.0,-,24/09/2022,15000000,Argentina
20,Papu Gómez,Extremo izquierdo,35,15/02/1988,"1,67",derecho,15.0,3,13/06/2017,4000000,Argentina
-,Ángel Correa,Extremo derecho,28,09/03/1995,"1,71",derecho,22.0,3,05/09/2015,40000000,Argentina
11,Ángel Di María,Extremo derecho,35,14/02/1988,"1,80",izquierdo,123.0,25,06/09/2008,10000000,Argentina
10,Lionel Messi,Mediapunta,36,24/06/1987,"1,70",izquierdo,164.0,90,17/08/2005,50000000,Argentina
17,Joaquín Correa,Mediapunta,28,13/08/1994,"1,88",derecho,18.0,3,09/06/2017,20000000,Argentina
22,Lautaro Martínez,Delantero centro,25,22/08/1997,"1,74",derecho,40.0,21,27/03/2018,75000000,Argentina
9,Julián Álvarez,Delantero centro,23,31/01/2000,"1,70",derecho,11.0,2,04/06/2021,32000000,Argentina
1,Alisson,Portero,30,02/10/1992,"1,91",derecho,57.0,-,14/10/2015,50000000,Brasil
23,Ederson,Portero,29,17/08/1993,"1,88",izquierdo,18.0,-,11/10/2017,45000000,Brasil
12,Weverton,Portero,35,13/12/1987,"1,89",derecho,11.0,-,26/01/2017,4000000,Brasil
4,Marquinhos,Defensa central,29,14/05/1994,"1,83",derecho,71.0,5,17/11/2013,70000000,Brasil
14,Éder Militão,Defensa central,25,18/01/1998,"1,86",derecho,23.0,1,12/09/2018,60000000,Brasil
22,Bremer,Defensa central,26,18/03/1997,"1,88",derecho,1.0,-,23/09/2022,40000000,Brasil
-,Roger Ibañez,Defensa central,24,23/11/1998,"1,86",derecho,1.0,-,27/09/2022,27000000,Brasil
3,Thiago Silva,Defensa central,38,22/09/1984,"1,81",derecho,109.0,7,12/10/2008,2500000,Brasil
-,Renan Lodi,Lateral izquierdo,25,08/04/1998,"1,73",izquierdo,16.0,-,10/10/2019,20000000,Brasil
16,Alex Telles,Lateral izquierdo,30,15/12/1992,"1,81",izquierdo,8.0,-,23/03/2019,14000000,Brasil
2,Danilo,Lateral derecho,31,15/07/1991,"1,84",derecho,46.0,1,15/09/2011,12000000,Brasil
17,Bruno Guimarães,Pivote,25,16/11/1997,"1,82",derecho,8.0,1,18/11/2020,60000000,Brasil
15,Fabinho,Pivote,29,23/10/1993,"1,88",derecho,28.0,-,07/06/2015,55000000,Brasil
5,Casemiro,Pivote,31,23/02/1992,"1,85",derecho,65.0,5,15/09/2011,50000000,Brasil
8,Fred,Mediocentro,30,05/03/1993,"1,69",izquierdo,28.0,-,12/11/2014,20000000,Brasil
26,Éverton Ribeiro,Mediocentro,34,10/04/1989,"1,74",izquierdo,22.0,3,06/09/2014,4500000,Brasil
7,Lucas Paquetá,Mediocentro ofensivo,25,27/08/1997,"1,80",izquierdo,35.0,7,08/09/2018,45000000,Brasil
20,Vinicius Junior,Extremo izquierdo,22,12/07/2000,"1,76",derecho,16.0,1,11/09/2019,120000000,Brasil
10,Neymar,Extremo izquierdo,31,05/02/1992,"1,75",derecho,121.0,75,10/08/2010,75000000,Brasil
21,Rodrygo,Extremo derecho,22,09/01/2001,"1,74",derecho,7.0,1,15/11/2019,80000000,Brasil
18,Antony,Extremo derecho,23,24/02/2000,"1,72",izquierdo,11.0,2,08/10/2021,75000000,Brasil
11,Raphinha,Extremo derecho,26,14/12/1996,"1,76",izquierdo,11.0,5,08/10/2021,50000000,Brasil
9,Richarlison,Delantero centro,26,10/05/1997,"1,84",derecho,38.0,17,08/09/2018,50000000,Brasil
-,Roberto Firmino,Delantero centro,31,02/10/1991,"1,81",derecho,55.0,17,12/11/2014,28000000,Brasil
-,Matheus Cunha,Delantero centro,24,27/05/1999,"1,84",derecho,8.0,-,03/09/2021,20000000,Brasil
25,Pedro,Delantero centro,26,20/06/1997,"1,85",derecho,2.0,1,14/11/2020,12000000,Brasil
1,Thibaut Courtois,Portero,31,11/05/1992,"2,00",izquierdo,96.0,-,15/11/2011,60000000,Bélgica
-,Matz Sels,Portero,31,26/02/1992,"1,88",derecho,2.0,-,03/06/2021,8000000,Bélgica
13,Koen Casteels,Portero,31,25/06/1992,"1,97",izquierdo,4.0,-,08/09/2020,8000000,Bélgica
12,Simon Mignolet,Portero,35,06/03/1988,"1,93",derecho,35.0,-,25/03/2011,5000000,Bélgica
3,Arthur Theate,Defensa central,23,25/05/2000,"1,85",izquierdo,3.0,-,16/11/2021,20000000,Bélgica
22,Wout Faes,Defensa central,25,03/04/1998,"1,87",derecho,1.0,-,08/06/2022,20000000,Bélgica
4,Zeno Debast,Defensa central,19,24/10/2003,"1,89",derecho,2.0,-,22/09/2022,8000000,Bélgica
-,Brandon Mechele,Defensa central,30,28/01/1993,"1,90",derecho,3.0,-,13/10/2019,6500000,Bélgica
2,Toby Alderweireld,Defensa central,34,02/03/1989,"1,87",derecho,123.0,5,29/05/2009,4000000,Bélgica
-,Dedryck Boyata,Defensa central,32,28/11/1990,"1,88",derecho,31.0,-,12/10/2010,3000000,Bélgica
5,Jan Vertonghen,Defensa central,36,24/04/1987,"1,89",izquierdo,141.0,9,02/06/2007,1800000,Bélgica
21,Timothy Castagne,Lateral derecho,27,05/12/1995,"1,85",derecho,25.0,2,07/09/2018,28000000,Bélgica
15,Thomas Meunier,Lateral derecho,31,12/09/1991,"1,91",derecho,58.0,8,14/11/2013,6500000,Bélgica
-,Thomas Foket,Lateral derecho,28,25/09/1994,"1,77",derecho,10.0,1,09/11/2016,4500000,Bélgica
18,Amadou Onana,Pivote,21,16/08/2001,"1,95",derecho,2.0,-,03/06/2022,35000000,Bélgica
19,Leander Dendoncker,Pivote,28,15/04/1995,"1,88",derecho,29.0,1,07/06/2015,22000000,Bélgica
6,Axel Witsel,Pivote,34,12/01/1989,"1,86",derecho,126.0,12,26/03/2008,5000000,Bélgica
8,Youri Tielemans,Mediocentro,26,07/05/1997,"1,76",derecho,54.0,5,09/11/2016,40000000,Bélgica
-,Dennis Praet,Mediocentro,29,14/05/1994,"1,81",derecho,15.0,2,12/11/2014,10000000,Bélgica
7,Kevin De Bruyne,Mediocentro ofensivo,32,28/06/1991,"1,81",derecho,93.0,25,11/08/2010,80000000,Bélgica
24,Charles De Ketelaere,Mediocentro ofensivo,22,10/03/2001,"1,92",izquierdo,10.0,1,11/11/2020,30000000,Bélgica
20,Hans Vanaken,Mediocentro ofensivo,30,24/08/1992,"1,95",derecho,22.0,5,07/09/2018,15000000,Bélgica
11,Yannick Carrasco,Extremo izquierdo,29,04/09/1993,"1,81",derecho,59.0,8,28/03/2015,30000000,Bélgica
17,Leandro Trossard,Extremo izquierdo,28,04/12/1994,"1,72",derecho,21.0,5,05/09/2020,30000000,Bélgica
16,Thorgan Hazard,Extremo izquierdo,30,29/03/1993,"1,75",derecho,45.0,9,29/05/2013,9000000,Bélgica
10,Eden Hazard,Extremo izquierdo,32,07/01/1991,"1,75",derecho,122.0,33,19/11/2008,7500000,Bélgica
-,Alexis Saelemaekers,Extremo derecho,24,27/06/1999,"1,80",derecho,9.0,1,08/10/2020,15000000,Bélgica
-,Dodi Lukébakio,Extremo derecho,25,24/09/1997,"1,87",izquierdo,5.0,-,11/11/2020,12000000,Bélgica
-,Adnan Januzaj,Extremo derecho,28,05/02/1995,"1,86",izquierdo,15.0,1,26/05/2014,7000000,Bélgica
9,Romelu Lukaku,Delantero centro,30,13/05/1993,"1,91",izquierdo,102.0,68,03/03/2010,55000000,Bélgica
26,Loïs Openda,Delantero centro,23,16/02/2000,"1,77",derecho,4.0,1,08/06/2022,12000000,Bélgica
23,Michy Batshuayi,Delantero centro,29,02/10/1993,"1,85",derecho,47.0,26,28/03/2015,10000000,Bélgica
14,Dries Mertens,Delantero centro,36,06/05/1987,"1,69",derecho,106.0,21,09/02/2011,3400000,Bélgica
-,Mike Maignan,Portero,27,03/07/1995,"1,91",derecho,5,-,07/10/2020,35000000,Francia
-,Alban Lafont,Portero,24,23/01/1999,"1,96",derecho,-,-,-,16000000,Francia
23,Alphonse Areola,Portero,30,27/02/1993,"1,95",derecho,5,-,06/09/2018,8000000,Francia
1,Hugo Lloris,Portero,36,26/12/1986,"1,88",izquierdo,139,-,19/11/2008,7000000,Francia
16,Steve Mandanda,Portero,38,28/03/1985,"1,87",derecho,34,-,27/05/2008,1500000,Francia
5,Jules Koundé,Defensa central,24,12/11/1998,"1,78",derecho,12,-,02/06/2021,60000000,Francia
13,Dayot Upamecano,Defensa central,24,27/10/1998,"1,86",derecho,7,1,05/09/2020,50000000,Francia
21,Lucas Hernández,Defensa central,27,14/02/1996,"1,84",izquierdo,32,-,23/03/2018,50000000,Francia
24,William Saliba,Defensa central,22,24/03/2001,"1,92",derecho,7,-,25/03/2022,50000000,Francia
-,Benoît Badiashile,Defensa central,22,26/03/2001,"1,94",izquierdo,2,-,22/09/2022,40000000,Francia
3,Presnel Kimpembe,Defensa central,27,13/08/1995,"1,83",izquierdo,28,-,27/03/2018,40000000,Francia
4,Raphaël Varane,Defensa central,30,25/04/1993,"1,91",derecho,87,5,22/03/2013,40000000,Francia
15,Ibrahima Konaté,Defensa central,24,25/05/1999,"1,94",derecho,2,-,10/06/2022,35000000,Francia
22,Theo Hernández,Lateral izquierdo,25,06/10/1997,"1,84",izquierdo,7,1,07/09/2021,55000000,Francia
-,Ferland Mendy,Lateral izquierdo,28,08/06/1995,"1,80",izquierdo,9,-,20/11/2018,40000000,Francia
-,Lucas Digne,Lateral izquierdo,29,20/07/1993,"1,78",izquierdo,46,-,05/03/2014,22000000,Francia
-,Adrien Truffert,Lateral izquierdo,21,20/11/2001,"1,76",izquierdo,1,-,25/09/2022,15000000,Francia
2,Benjamin Pavard,Lateral derecho,27,28/03/1996,"1,86",derecho,46,2,10/11/2017,35000000,Francia
8,Aurélien Tchouameni,Pivote,23,27/01/2000,"1,88",derecho,14,1,01/09/2021,80000000,Francia
-,N'Golo Kanté,Pivote,32,29/03/1991,"1,68",derecho,53,2,25/03/2016,30000000,Francia
-,Boubacar Kamara,Pivote,23,23/11/1999,"1,84",derecho,3,-,06/06/2022,25000000,Francia
6,Eduardo Camavinga,Mediocentro,20,10/11/2002,"1,82",izquierdo,4,1,08/09/2020,50000000,Francia
18,Mattéo Guendouzi,Mediocentro,24,14/04/1999,"1,85",derecho,6,1,16/11/2021,25000000,Francia
25,Youssouf Fofana,Mediocentro,24,10/01/1999,"1,85",derecho,2,-,22/09/2022,25000000,Francia
14,Adrien Rabiot,Mediocentro,28,03/04/1995,"1,88",izquierdo,29,2,15/11/2016,18000000,Francia
17,Jordan Veretout,Mediocentro,30,01/03/1993,"1,77",derecho,5,-,01/09/2021,14000000,Francia
-,Jonathan Clauss,Interior derecho,30,25/09/1992,"1,78",derecho,6,-,25/03/2022,15000000,Francia
-,Moussa Diaby,Extremo izquierdo,23,07/07/1999,"1,70",izquierdo,8,-,01/09/2021,50000000,Francia
11,Ousmane Dembélé,Extremo derecho,26,15/05/1997,"1,78",ambidiestro,28,4,01/09/2016,60000000,Francia
20,Kingsley Coman,Extremo derecho,27,13/06/1996,"1,80",derecho,40,5,13/11/2015,60000000,Francia
12,Christopher Nkunku,Mediapunta,25,14/11/1997,"1,75",derecho,8,-,25/03/2022,80000000,Francia
7,Antoine Griezmann,Mediapunta,32,21/03/1991,"1,76",izquierdo,110,42,05/03/2014,25000000,Francia
10,Kylian Mbappé,Delantero centro,24,20/12/1998,"1,78",derecho,59,28,25/03/2017,160000000,Francia
19,Karim Benzema,Delantero centro,35,19/12/1987,"1,85",derecho,97,37,28/03/2007,35000000,Francia
-,Randal Kolo Muani,Delantero centro,24,05/12/1998,"1,87",derecho,2,-,22/09/2022,30000000,Francia
-,Wissam Ben Yedder,Delantero centro,32,12/08/1990,"1,70",ambidiestro,19,3,23/03/2018,20000000,Francia
9,Olivier Giroud,Delantero centro,36,30/09/1986,"1,92",izquierdo,114,49,11/11/2011,4000000,Francia
13,Aaron Ramsdale,Portero,25,14/05/1998,"1,90",derecho,3,-,15/11/2021,30000000,Inglaterra
1,Jordan Pickford,Portero,29,07/03/1994,"1,85",izquierdo,45,-,10/11/2017,28000000,Inglaterra
-,Dean Henderson,Portero,26,12/03/1997,"1,88",derecho,1,-,12/11/2020,22000000,Inglaterra
22,Nick Pope,Portero,31,19/04/1992,"1,98",derecho,10,-,07/06/2018,18000000,Inglaterra
-,Fikayo Tomori,Defensa central,25,19/12/1997,"1,85",derecho,3,-,17/11/2019,50000000,Inglaterra
-,Marc Guéhi,Defensa central,22,13/07/2000,"1,82",derecho,3,-,26/03/2022,35000000,Inglaterra
4,John Stones,Defensa central,29,28/05/1994,"1,88",derecho,59,3,30/05/2014,30000000,Inglaterra
5,Eric Dier,Defensa central,29,15/01/1994,"1,88",derecho,47,3,13/11/2015,30000000,Inglaterra
6,Harry Maguire,Defensa central,30,05/03/1993,"1,94",derecho,48,7,08/10/2017,30000000,Inglaterra
16,Conor Coady,Defensa central,30,25/02/1993,"1,85",derecho,10,1,08/09/2020,18000000,Inglaterra
-,Ben Chilwell,Lateral izquierdo,26,21/12/1996,"1,80",izquierdo,17,1,11/09/2018,38000000,Inglaterra
3,Luke Shaw,Lateral izquierdo,27,12/07/1995,"1,78",izquierdo,23,3,05/03/2014,28000000,Inglaterra
-,Reece James,Lateral derecho,23,08/12/1999,"1,80",derecho,15,-,08/10/2020,70000000,Inglaterra
26,Trent Alexander-Arnold,Lateral derecho,24,07/10/1998,"1,80",derecho,17,1,07/06/2018,70000000,Inglaterra
-,James Justin,Lateral derecho,25,23/02/1998,"1,83",derecho,1,-,04/06/2022,25000000,Inglaterra
2,Kyle Walker,Lateral derecho,33,28/05/1990,"1,83",derecho,70,-,12/11/2011,15000000,Inglaterra
12,Kieran Trippier,Lateral derecho,32,19/09/1990,"1,73",derecho,37,1,13/06/2017,13000000,Inglaterra
7,Declan Rice,Pivote,24,14/01/1999,"1,88",derecho,34,2,22/03/2019,80000000,Inglaterra
23,Kalvin Phillips,Pivote,27,02/12/1995,"1,79",derecho,23,-,08/09/2020,45000000,Inglaterra
21,Phil Foden,Mediocentro,23,28/05/2000,"1,71",izquierdo,18,2,05/09/2020,110000000,Inglaterra
8,Jude Bellingham,Mediocentro,20,29/06/2003,"1,86",derecho,17,-,12/11/2020,100000000,Inglaterra
-,James Ward-Prowse,Mediocentro,28,01/11/1994,"1,77",derecho,11,2,22/03/2017,35000000,Inglaterra
24,Conor Gallagher,Mediocentro,23,06/02/2000,"1,82",derecho,4,-,15/11/2021,32000000,Inglaterra
14,Jordan Henderson,Mediocentro,33,17/06/1990,"1,87",derecho,70,2,17/11/2010,15000000,Inglaterra
18,Bukayo Saka,Interior derecho,21,05/09/2001,"1,78",izquierdo,20,4,08/10/2020,90000000,Inglaterra
19,Mason Mount,Mediocentro ofensivo,24,10/01/1999,"1,81",derecho,32,5,07/09/2019,75000000,Inglaterra
10,Raheem Sterling,Extremo izquierdo,28,08/12/1994,"1,70",derecho,79,19,14/11/2012,70000000,Inglaterra
17,Jack Grealish,Extremo izquierdo,27,10/09/1995,"1,80",derecho,24,1,08/09/2020,70000000,Inglaterra
-,Jarrod Bowen,Extremo derecho,26,20/12/1996,"1,82",izquierdo,4,-,04/06/2022,42000000,Inglaterra
9,Harry Kane,Delantero centro,29,28/07/1993,"1,88",derecho,75,51,27/03/2015,90000000,Inglaterra
-,Ivan Toney,Delantero centro,27,16/03/1996,"1,85",derecho,-,-,-,45000000,Inglaterra
-,Tammy Abraham,Delantero centro,25,02/10/1997,"1,94",derecho,11,3,10/11/2017,45000000,Inglaterra
22,Diogo Costa,Portero,23,19/09/1999,"1,86",derecho,7,-,09/10/2021,35000000,Portugal
12,José Sá,Portero,30,17/01/1993,"1,92",derecho,-,-,-,18000000,Portugal
-,Rui Silva,Portero,29,07/02/1994,"1,91",izquierdo,1,-,09/06/2021,15000000,Portugal
1,Rui Patrício,Portero,35,15/02/1988,"1,90",izquierdo,105,-,17/11/2010,5000000,Portugal
4,Rúben Dias,Defensa central,26,14/05/1997,"1,87",derecho,39,2,28/05/2018,75000000,Portugal
-,David Carmo,Defensa central,23,19/07/1999,"1,96",izquierdo,-,-,-,20000000,Portugal
-,Tiago Djaló,Defensa central,23,09/04/2000,"1,90",derecho,-,-,-,12000000,Portugal
-,Domingos Duarte,Defensa central,28,10/03/1995,"1,92",derecho,3,-,11/11/2020,8000000,Portugal
3,Pepe,Defensa central,40,26/02/1983,"1,87",derecho,128,7,21/11/2007,1000000,Portugal
25,Nuno Mendes,Lateral izquierdo,21,19/06/2002,"1,83",izquierdo,16,-,24/03/2021,60000000,Portugal
5,Raphaël Guerreiro,Lateral izquierdo,29,22/12/1993,"1,70",izquierdo,56,3,14/11/2014,20000000,Portugal
-,Mário Rui,Lateral izquierdo,32,27/05/1991,"1,68",izquierdo,12,-,26/03/2018,8000000,Portugal
20,João Cancelo,Lateral derecho,29,27/05/1994,"1,82",derecho,37,7,01/09/2016,70000000,Portugal
2,Diogo Dalot,Lateral derecho,24,18/03/1999,"1,83",derecho,6,2,23/06/2021,32000000,Portugal
18,Rúben Neves,Pivote,26,13/03/1997,"1,80",derecho,32,-,14/11/2015,40000000,Portugal
6,João Palhinha,Pivote,27,09/07/1995,"1,90",derecho,15,2,24/03/2021,28000000,Portugal
14,William Carvalho,Pivote,31,07/04/1992,"1,87",derecho,75,5,19/11/2013,16000000,Portugal
13,Danilo Pereira,Pivote,31,09/09/1991,"1,88",derecho,63,2,31/03/2015,12000000,Portugal
11,Matheus Nunes,Mediocentro,24,27/08/1998,"1,83",derecho,9,1,09/10/2021,45000000,Portugal
24,Vitinha,Mediocentro,23,13/02/2000,"1,72",derecho,4,-,29/03/2022,45000000,Portugal
17,João Mário,Mediocentro,30,19/01/1993,"1,79",derecho,52,2,11/10/2014,12000000,Portugal
-,João Moutinho,Mediocentro,36,08/09/1986,"1,70",derecho,146,7,17/08/2005,2000000,Portugal
16,Otávio,Interior derecho,28,09/02/1995,"1,72",derecho,7,2,04/09/2021,30000000,Portugal
10,Bernardo Silva,Mediocentro ofensivo,28,10/08/1994,"1,73",izquierdo,72,8,31/03/2015,80000000,Portugal
8,Bruno Fernandes,Mediocentro ofensivo,28,08/09/1994,"1,79",derecho,48,9,10/11/2017,75000000,Portugal
15,Rafael Leão,Extremo izquierdo,24,10/06/1999,"1,88",derecho,11,-,09/10/2021,85000000,Portugal
-,Diogo Jota,Extremo izquierdo,26,04/12/1996,"1,78",derecho,29,10,14/11/2019,55000000,Portugal
-,Gonçalo Guedes,Extremo izquierdo,26,29/11/1996,"1,79",derecho,32,7,14/11/2015,32000000,Portugal
-,Pedro Neto,Extremo izquierdo,23,09/03/2000,"1,72",izquierdo,3,1,11/11/2020,32000000,Portugal
21,Ricardo Horta,Extremo izquierdo,28,15/09/1994,"1,73",derecho,5,1,07/09/2014,20000000,Portugal
23,João Félix,Mediapunta,23,10/11/1999,"1,81",ambidiestro,23,3,05/06/2019,50000000,Portugal
9,André Silva,Delantero centro,27,06/11/1995,"1,85",derecho,51,19,01/09/2016,24000000,Portugal
19,Gonçalo Ramos,Delantero centro,22,20/06/2001,"1,85",derecho,-,-,-,24000000,Portugal
7,Cristiano Ronaldo,Delantero centro,38,05/02/1985,"1,87",derecho,191,117,20/08/2003,20000000,Portugal
1,Robert Sánchez,Portero,25,18/11/1997,"1,97",derecho,1.0,-,05/09/2021,32000000,España
23,Unai Simón,Portero,26,11/06/1997,"1,90",derecho,27.0,-,11/11/2020,25000000,España
13,David Raya,Portero,27,15/09/1995,"1,83",derecho,1.0,-,26/03/2022,22000000,España
4,Pau Torres,Defensa central,26,16/01/1997,"1,91",izquierdo,21.0,1,15/11/2019,50000000,España
-,Iñigo Martínez,Defensa central,32,17/05/1991,"1,82",izquierdo,19.0,1,14/08/2013,18000000,España
3,Eric García,Defensa central,22,09/01/2001,"1,82",derecho,18.0,-,06/09/2020,18000000,España
-,Diego Llorente,Defensa central,29,16/08/1993,"1,86",derecho,10.0,-,29/05/2016,12000000,España
14,José Gayà,Lateral izquierdo,28,25/05/1995,"1,72",izquierdo,18.0,3,11/09/2018,40000000,España
-,Marcos Alonso,Lateral izquierdo,32,28/12/1990,"1,89",izquierdo,9.0,-,27/03/2018,9000000,España
18,Jordi Alba,Lateral izquierdo,34,21/03/1989,"1,70",izquierdo,86.0,10,11/10/2011,5000000,España
20,Daniel Carvajal,Lateral derecho,31,11/01/1992,"1,73",derecho,30.0,-,04/09/2014,18000000,España
2,César Azpilicueta,Lateral derecho,33,28/08/1989,"1,78",derecho,41.0,1,06/02/2013,8000000,España
16,Rodri,Pivote,27,22/06/1996,"1,91",derecho,34.0,1,23/03/2018,80000000,España
12,Hugo Guillamón,Pivote,23,31/01/2000,"1,78",derecho,3.0,1,08/06/2021,25000000,España
