#,Jugadores,Posicion,Edad,Nacido,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €,Pais
1,Dayne St. Clair,Portero,26,09/05/1997,"1,91",izquierdo,1,-,06/06/2021,1500000,Canadá
4,Kamal Miller,Defensa central,26,16/05/1997,"1,83",izquierdo,27,-,24/06/2019,4000000,Canadá
24,Joel Waterman,Defensa central,27,24/01/1996,"1,88",,-,-,-,2000000,Canadá
-,Derek Cornelius,Defensa central,25,25/11/1997,"1,87",ambidiestro,14,-,09/09/2018,800000,Canadá
-,Scott Kennedy,Defensa central,26,31/03/1997,"1,93",izquierdo,8,-,09/06/2021,600000,Canadá
-,Doneil Henry,Defensa central,30,20/04/1993,"1,88",derecho,-,-,-,500000,Canadá
-,Steven Vitória,Defensa central,36,11/01/1987,"1,95",derecho,34,3,06/02/2016,100000,Canadá
-,Alphonso Davies,Lateral izquierdo,22,02/11/2000,"1,85",izquierdo,34,12,14/06/2017,70000000,Canadá
-,Sam Adekugbe,Lateral izquierdo,28,16/01/1995,"1,76",izquierdo,33,1,09/09/2015,2000000,Canadá
-,Raheem Edwards,Lateral izquierdo,27,17/07/1995,"1,72",izquierdo,4,-,14/06/2017,1000000,Canadá
2,Alistair Johnston,Lateral derecho,24,08/10/1998,"1,80",,28,1,26/03/2021,6000000,Canadá
22,Richie Laryea,Lateral derecho,28,07/01/1995,"1,75",derecho,32,1,08/09/2019,2500000,Canadá
6,Samuel Piette,Pivote,28,12/11/1994,"1,71",derecho,64,-,04/06/2012,2500000,Canadá
-,Atiba Hutchinson,Pivote,40,08/02/1983,"1,87",derecho,97,9,18/01/2003,200000,Canadá
-,Stephen Eustaquio,Mediocentro,26,21/12/1996,"1,77",derecho,26,3,16/11/2019,8000000,Canadá
8,Ismaël Koné,Mediocentro,21,16/06/2002,"1,88",,4,-,25/03/2022,6000000,Canadá
14,Mark-Anthony Kaye,Mediocentro,28,02/12/1994,"1,85",izquierdo,36,2,14/06/2017,3000000,Canadá
-,Liam Millar,Extremo izquierdo,23,27/09/1999,"1,81",derecho,16,-,24/03/2018,2300000,Canadá
-,Luca Koleosho,Extremo izquierdo,18,15/09/2004,"1,75",derecho,-,-,-,1000000,Canadá
-,Junior Hoilett,Extremo izquierdo,33,05/06/1990,"1,74",derecho,49,14,13/10/2015,800000,Canadá
-,Tajon Buchanan,Extremo derecho,24,08/02/1999,"1,83",derecho,25,4,06/06/2021,12000000,Canadá
-,Theo Corbeanu,Extremo derecho,21,17/05/2002,"1,90",izquierdo,7,2,26/03/2021,1500000,Canadá
-,Jonathan David,Delantero centro,23,14/01/2000,"1,77",ambidiestro,34,22,09/09/2018,45000000,Canadá
-,Cyle Larin,Delantero centro,28,17/04/1995,"1,88",derecho,54,25,23/05/2014,6000000,Canadá
-,Iké Ugbo,Delantero centro,24,21/09/1998,"1,84",derecho,8,-,13/11/2021,4000000,Canadá
9,Lucas Cavallini,Delantero centro,30,28/12/1992,"1,82",izquierdo,32,17,16/08/2012,2000000,Canadá
-,Charles-Andreas Brym,Delantero centro,24,08/08/1998,"1,85",izquierdo,7,1,08/01/2020,325000,Canadá
12.0,Bum-keun Song,Portero,25,15/10/1997,"1,94",derecho,1,-,24/07/2022,950000,Corea del Sur
1.0,Seung-gyu Kim,Portero,32,30/09/1990,"1,87",derecho,66,-,14/08/2013,750000,Corea del Sur
21.0,Dong-jun Kim,Portero,28,19/12/1994,"1,89",,1,-,20/07/2022,550000,Corea del Sur
4.0,Min-jae Kim,Defensa central,26,15/11/1996,"1,90",derecho,44,3,31/08/2017,35000000,Corea del Sur
20.0,Kyung-won Kwon,Defensa central,31,31/01/1992,"1,89",izquierdo,27,2,07/10/2017,750000,Corea del Sur
4.0,Yu-min Cho,Defensa central,26,17/11/1996,"1,84",derecho,3,-,20/07/2022,625000,Corea del Sur
19.0,Young-gwon Kim,Defensa central,33,27/02/1990,"1,86",izquierdo,95,6,11/08/2010,600000,Corea del Sur
3.0,Jin-su Kim,Lateral izquierdo,31,13/06/1992,"1,77",izquierdo,61,2,20/07/2013,600000,Corea del Sur
14.0,Chul Hong,Lateral izquierdo,32,17/09/1990,"1,76",izquierdo,46,1,09/02/2011,525000,Corea del Sur
2.0,Tae-hwan Kim,Lateral derecho,33,24/07/1989,"1,80",derecho,18,-,26/01/2014,950000,Corea del Sur
23.0,Moon-hwan Kim,Lateral derecho,27,01/08/1995,"1,73",derecho,21,-,07/09/2018,950000,Corea del Sur
24.0,Jong-gyu Yoon,Lateral derecho,25,20/03/1998,"1,73",derecho,3,-,17/11/2020,600000,Corea del Sur
13.0,Jun-ho Son,Pivote,31,12/05/1992,"1,78",derecho,14,-,27/01/2018,3200000,Corea del Sur
5.0,Woo-young Jung,Pivote,33,14/12/1989,"1,86",derecho,66,3,11/06/2015,600000,Corea del Sur
6.0,In-beom Hwang,Mediocentro,26,20/09/1996,"1,77",ambidiestro,37,4,07/09/2018,3500000,Corea del Sur
8.0,Seung-ho Paik,Mediocentro,26,17/03/1997,"1,82",,13,2,11/06/2019,925000,Corea del Sur
26.0,Kang-in Lee,Mediocentro ofensivo,22,19/02/2001,"1,73",izquierdo,6,-,05/09/2019,12000000,Corea del Sur
10.0,Jae-sung Lee,Mediocentro ofensivo,30,10/08/1992,"1,80",izquierdo,64,9,27/03/2015,3000000,Corea del Sur
7.0,Heung-min Son,Extremo izquierdo,30,08/07/1992,"1,84",ambidiestro,105,35,30/12/2010,70000000,Corea del Sur
17.0,Sang-ho Na,Extremo izquierdo,26,12/08/1996,"1,73",derecho,23,2,17/11/2018,900000,Corea del Sur
22.0,Chang-hoon Kwon,Extremo derecho,29,30/06/1994,"1,73",izquierdo,41,12,02/08/2015,1500000,Corea del Sur
9.0,Young-wook Cho,Extremo derecho,24,05/02/1999,"1,78",derecho,4,1,21/01/2022,700000,Corea del Sur
18.0,Hyun-jun Yang,Extremo derecho,21,25/05/2002,"1,79",derecho,-,-,-,275000,Corea del Sur
25.0,Woo-yeong Jeong,Mediapunta,23,20/09/1999,"1,79",derecho,9,2,25/03/2021,5500000,Corea del Sur
11.0,Hee-chan Hwang,Delantero centro,27,26/01/1996,"1,77",derecho,49,9,01/09/2016,12000000,Corea del Sur
16.0,Ui-jo Hwang,Delantero centro,30,28/08/1992,"1,85",ambidiestro,49,16,03/09/2015,5000000,Corea del Sur
12,Danny Ward,Portero,30,22/06/1993,"1,89",derecho,26,-,24/03/2016,8000000,Gales
1,Wayne Hennessey,Portero,36,24/01/1987,"1,97",derecho,106,-,26/05/2007,500000,Gales
21,Adam Davies,Portero,30,17/07/1992,"1,85",derecho,4,-,20/03/2019,500000,Gales
-,Tom King,Portero,28,09/03/1995,"1,94",derecho,-,-,-,200000,Gales
6,Joe Rodon,Defensa central,25,22/10/1997,"1,93",derecho,30,-,06/09/2019,9000000,Gales
15,Ethan Ampadu,Defensa central,22,14/09/2000,"1,83",derecho,37,-,10/11/2017,9000000,Gales
24,Ben Cabango,Defensa central,23,30/05/2000,"1,88",derecho,5,-,03/09/2020,8000000,Gales
5,Chris Mepham,Defensa central,25,05/11/1997,"1,90",derecho,33,-,22/03/2018,6000000,Gales
-,Oliver Denham,Defensa central,21,04/05/2002,"1,82",derecho,-,-,-,200000,Gales
4,Ben Davies,Lateral izquierdo,30,24/04/1993,"1,81",izquierdo,74,1,12/10/2012,20000000,Gales
-,Rhys Norrington-Davies,Lateral izquierdo,24,22/04/1999,"1,81",izquierdo,13,1,14/10/2020,3000000,Gales
3,Neco Williams,Lateral derecho,22,13/04/2001,"1,77",derecho,23,2,03/09/2020,18000000,Gales
14,Connor Roberts,Lateral derecho,27,23/09/1995,"1,75",derecho,41,3,26/03/2018,6000000,Gales
2,Chris Gunter,Lateral derecho,33,21/07/1989,"1,80",derecho,109,-,26/05/2007,800000,Gales
16,Matt Smith,Pivote,23,22/11/1999,"1,75",derecho,19,-,29/05/2018,450000,Gales
10,Aaron Ramsey,Mediocentro,32,26/12/1990,"1,82",derecho,75,20,19/11/2008,3000000,Gales
-,Jordan James,Mediocentro,18,02/07/2004,-,derecho,-,-,-,2000000,Gales
7,Joe Allen,Mediocentro,33,14/03/1990,"1,68",derecho,72,2,29/05/2009,1000000,Gales
23,Dylan Levitt,Mediocentro,22,17/11/2000,"1,80",derecho,13,-,03/09/2020,700000,Gales
26,Joe Morrell,Mediocentro,26,03/01/1997,"1,85",derecho,30,-,09/09/2019,400000,Gales
-,Wes Burns,Interior derecho,28,23/11/1994,"1,73",derecho,3,-,01/06/2022,800000,Gales
25,Rubin Colwill,Mediocentro ofensivo,21,27/04/2002,"1,89",,7,1,02/06/2021,1500000,Gales
18,Jonathan Williams,Mediocentro ofensivo,29,09/10/1993,"1,68",izquierdo,33,2,22/03/2013,800000,Gales
-,Luke Harris,Mediocentro ofensivo,18,03/04/2005,"1,77",derecho,-,-,-,500000,Gales
8,Harry Wilson,Extremo derecho,26,22/03/1997,"1,73",izquierdo,39,5,15/10/2013,17000000,Gales
20,Daniel James,Extremo derecho,25,10/11/1997,"1,70",derecho,38,5,20/11/2018,16000000,Gales
17,Sorba Thomas,Extremo derecho,24,25/01/1999,"1,85",derecho,6,-,08/10/2021,5000000,Gales
-,Rabbi Matondo,Extremo derecho,22,09/09/2000,"1,75",derecho,11,-,20/11/2018,4000000,Gales
11,Gareth Bale,Extremo derecho,33,16/07/1989,"1,85",izquierdo,108,39,27/05/2006,2000000,Gales
9,Brennan Johnson,Mediapunta,22,23/05/2001,"1,79",derecho,15,2,12/11/2020,20000000,Gales
-,Tyler Roberts,Delantero centro,24,12/01/1999,"1,80",derecho,20,-,06/09/2018,4000000,Gales
13,Kieffer Moore,Delantero centro,30,08/08/1992,"1,95",derecho,28,9,09/09/2019,4000000,Gales
19,Mark Harris,Delantero centro,24,29/12/1998,"1,82",derecho,5,-,05/09/2021,1000000,Gales
23.0,Daniel Schmidt,Portero,30,03/02/1992,"1,97",derecho,11.0,-,16/11/2018,1500000,Japón
12.0,Shuichi Gonda,Portero,33,03/03/1989,"1,87",derecho,33.0,-,06/01/2010,500000,Japón
1.0,Eiji Kawashima,Portero,39,20/03/1983,"1,85",derecho,95.0,-,17/02/2008,200000,Japón
4.0,Ko Itakura,Defensa central,25,27/01/1997,"1,88",derecho,12.0,1,21/06/2019,7500000,Japón
26.0,Hiroki Ito,Defensa central,23,12/05/1999,"1,88",izquierdo,5.0,-,02/06/2022,5500000,Japón
3.0,Shogo Taniguchi,Defensa central,31,15/07/1991,"1,83",derecho,13.0,-,11/06/2015,1700000,Japón
22.0,Maya Yoshida,Defensa central,34,24/08/1988,"1,89",derecho,121.0,12,06/01/2010,1500000,Japón
5.0,Yuto Nagatomo,Lateral izquierdo,36,12/09/1986,"1,70",ambidiestro,137.0,4,24/05/2008,400000,Japón
16.0,Takehiro Tomiyasu,Lateral derecho,24,05/11/1998,"1,88",derecho,29.0,1,12/10/2018,25000000,Japón
19.0,Hiroki Sakai,Lateral derecho,32,12/04/1990,"1,85",derecho,71.0,1,23/05/2012,2500000,Japón
2.0,Miki Yamane,Lateral derecho,28,22/12/1993,"1,78",derecho,14.0,2,25/03/2021,1300000,Japón
13.0,Hidemasa Morita,Pivote,27,10/05/1995,"1,77",derecho,17.0,2,11/09/2018,7000000,Japón
6.0,Wataru Endo,Pivote,29,09/02/1993,"1,78",derecho,43.0,2,02/08/2015,6500000,Japón
17.0,Ao Tanaka,Mediocentro,24,10/09/1998,"1,80",derecho,14.0,2,14/12/2019,1500000,Japón
7.0,Gaku Shibasaki,Mediocentro,30,28/05/1992,"1,74",derecho,59.0,3,09/09/2014,1000000,Japón
15.0,Daichi Kamada,Mediocentro ofensivo,26,05/08/1996,"1,84",derecho,21.0,6,22/03/2019,30000000,Japón
10.0,Takumi Minamino,Extremo izquierdo,27,16/01/1995,"1,72",derecho,43.0,17,13/10/2015,10000000,Japón
9.0,Kaoru Mitoma,Extremo izquierdo,25,20/05/1997,"1,78",derecho,9.0,5,16/11/2021,6000000,Japón
25.0,Daizen Maeda,Extremo izquierdo,25,20/10/1997,"1,73",derecho,8.0,1,18/06/2019,3500000,Japón
24.0,Yuki Soma,Extremo izquierdo,25,25/02/1997,"1,66",derecho,7.0,3,10/12/2019,900000,Japón
8.0,Ritsu Doan,Extremo derecho,24,16/06/1998,"1,72",izquierdo,28.0,3,11/09/2018,12000000,Japón
11.0,Takefusa Kubo,Extremo derecho,21,04/06/2001,"1,73",izquierdo,19.0,1,09/06/2019,12000000,Japón
14.0,Junya Ito,Extremo derecho,29,09/03/1993,"1,76",derecho,38.0,9,09/12/2017,9000000,Japón
18.0,Takuma Asano,Extremo derecho,28,10/11/1994,"1,73",derecho,36.0,7,02/08/2015,3000000,Japón
21.0,Ayase Ueda,Delantero centro,24,28/08/1998,"1,82",derecho,10.0,-,18/06/2019,2000000,Japón
20.0,Shuto Machino,Delantero centro,23,30/09/1999,"1,85",ambidiestro,4.0,3,19/07/2022,700000,Japón
12.0,Moisés Ramírez,Portero,22,09/09/2000,"1,85",derecho,2,-,08/10/2021,800000,Ecuador
1.0,Hernán Galíndez,Portero,36,30/03/1987,"1,88",derecho,12,-,23/06/2021,600000,Ecuador
22.0,Alexander Domínguez,Portero,36,05/06/1987,"1,96",derecho,67,-,26/03/2011,350000,Ecuador
3.0,Piero Hincapié,Defensa central,21,09/01/2002,"1,83",izquierdo,21,1,14/06/2021,22000000,Ecuador
24.0,William Pacho,Defensa central,21,16/10/2001,"1,86",izquierdo,-,-,-,3500000,Ecuador
2.0,Jackson Porozo,Defensa central,22,04/08/2000,"1,92",derecho,5,-,11/09/2019,3000000,Ecuador
14.0,Xavier Arreaga,Defensa central,28,28/09/1994,"1,83",,17,1,21/11/2018,2000000,Ecuador
4.0,Fernando León,Defensa central,30,11/04/1993,"1,85",derecho,7,-,11/10/2014,1500000,Ecuador
7.0,Pervis Estupiñán,Lateral izquierdo,25,21/01/1998,"1,75",izquierdo,28,3,13/10/2019,20000000,Ecuador
18.0,Diego Palacios,Lateral izquierdo,23,12/07/1999,"1,69",izquierdo,11,-,12/10/2018,4000000,Ecuador
17.0,Angelo Preciado,Lateral derecho,25,18/02/1998,"1,73",derecho,24,-,12/10/2018,3200000,Ecuador
6.0,Byron Castillo,Lateral derecho,24,10/11/1998,"1,67",derecho,12,-,02/09/2021,2800000,Ecuador
8.0,Carlos Gruezo,Pivote,28,19/04/1995,"1,71",derecho,46,1,17/05/2014,4000000,Ecuador
20.0,Jhegson Méndez,Pivote,26,26/04/1997,"1,71",derecho,31,-,12/09/2018,1500000,Ecuador
21.0,Patrickson Delgado,Pivote,19,17/10/2003,-,derecho,-,-,-,300000,Ecuador
23.0,Moisés Caicedo,Mediocentro,21,02/11/2001,"1,78",derecho,25,2,09/10/2020,38000000,Ecuador
5.0,José Cifuentes,Mediocentro,24,12/03/1999,"1,75",derecho,10,-,06/09/2019,12000000,Ecuador
21.0,Alan Franco,Mediocentro,24,21/08/1998,"1,74",derecho,24,1,12/09/2018,2500000,Ecuador
25.0,Nilson Angulo,Mediocentro ofensivo,20,19/06/2003,"1,83",derecho,3,-,28/10/2021,1300000,Ecuador
10.0,Romario Ibarra,Extremo izquierdo,28,24/09/1994,"1,76",derecho,24,3,06/10/2017,1800000,Ecuador
19.0,Gonzalo Plata,Extremo derecho,22,01/11/2000,"1,78",izquierdo,29,5,06/09/2019,5000000,Ecuador
15.0,Ángel Mena,Extremo derecho,35,21/01/1988,"1,68",izquierdo,45,7,29/03/2015,1500000,Ecuador
26.0,Anthony Valencia,Extremo derecho,19,21/07/2003,"1,74",izquierdo,-,-,-,1200000,Ecuador
11.0,Michael Estrada,Delantero centro,27,07/04/1996,"1,88",derecho,35,8,23/02/2017,3000000,Ecuador
13.0,Enner Valencia,Delantero centro,33,04/11/1989,"1,77",derecho,74,35,01/03/2012,3000000,Ecuador
9.0,Djorkaeff Reasco,Delantero centro,24,18/01/1999,"1,72",derecho,3,-,28/10/2021,500000,Ecuador
-,Houzaifi Youssoufa,Defensa,23,08/08/1999,-,,1,-,09/11/2022,-,Camerún
-,Che Malone Junior,Defensa,24,23/05/1999,-,,3,-,28/08/2022,-,Camerún
-,Ramses Nguimzeu,Delantero,,-,-,,-,-,-,-,Camerún
-,Alexandre Benga,Defensa,,-,-,,-,-,-,-,Camerún
-,Emmanuel Ebassa,Delantero,,-,-,,-,-,-,-,Camerún
-,Henry Tchikeu,Centrocampista,,-,-,,-,-,-,-,Camerún
-,Brandon Njoufack,Defensa,26,22/01/1997,-,,-,-,-,-,Camerún
-,Joseph Apam,Delantero,24,31/12/1998,-,,1,-,09/11/2022,-,Camerún
-,André Onana,Portero,27,02/04/1996,"1,90",derecho,32,-,06/09/2016,14000000,Camerún
-,Devis Epassy,Portero,30,02/02/1993,"1,89",derecho,5,-,08/06/2021,600000,Camerún
-,Simon Ngapandouetnbu,Portero,20,12/04/2003,"1,86",derecho,-,-,-,400000,Camerún
-,Haschou Kerrido,Portero,29,02/06/1994,-,,-,-,-,-,Camerún
-,Patrick Lionel Kibyen,Portero,24,19/09/1998,-,,-,-,-,-,Camerún
-,Marcelin Mbahbi,Portero,23,21/01/2000,-,,2,-,04/09/2022,-,Camerún
-,Christopher Wooh,Defensa central,21,18/09/2001,"1,91",derecho,1,-,09/06/2022,6000000,Camerún
-,Jean-Charles Castelletto,Defensa central,28,26/01/1995,"1,86",ambidiestro,13,-,11/11/2017,4000000,Camerún
-,Oumar Gonzalez,Defensa central,25,25/02/1998,"1,86",derecho,-,-,-,2500000,Camerún
-,Enzo Tchato,Defensa central,20,23/11/2002,"1,82",derecho,1,-,23/09/2022,2500000,Camerún
-,Nicolas N'Koulou,Defensa central,33,27/03/1990,"1,84",derecho,75,2,19/11/2008,1800000,Camerún
-,Yves Alain Moukoko,Defensa central,33,26/06/1990,"1,80",,3,-,24/02/2020,-,Camerún
-,Enzo Ebosse,Lateral izquierdo,24,11/03/1999,"1,85",izquierdo,-,-,-,4500000,Camerún
-,Nouhou Tolo,Lateral izquierdo,26,23/06/1997,"1,78",,17,-,11/11/2017,3000000,Camerún
-,Darlin Yongwa,Lateral izquierdo,22,22/09/2000,"1,77",izquierdo,1,-,23/09/2022,1000000,Camerún
-,Saidou Ibrahim,Lateral izquierdo,22,04/06/2001,"1,80",izquierdo,-,-,-,-,Camerún
-,Olivier Mbaizo,Lateral derecho,25,15/08/1997,"1,78",,11,-,06/09/2016,1500000,Camerún
-,Collins Fai,Lateral derecho,30,13/08/1992,"1,65",derecho,50,-,11/10/2015,900000,Camerún
-,Bawak Etta,Lateral derecho,28,10/07/1994,"1,70",derecho,6,-,12/09/2017,-,Camerún
-,Jean Onana,Pivote,23,08/01/2000,"1,89",derecho,10,-,09/10/2020,5000000,Camerún
-,Martin Hongla,Pivote,25,16/03/1998,"1,81",derecho,18,-,16/11/2020,3500000,Camerún
-,Samuel Oum Gouet,Pivote,25,14/12/1997,"1,85",derecho,21,-,06/01/2016,1300000,Camerún
-,Gaël Ondoua,Pivote,27,04/11/1995,"1,85",izquierdo,4,-,25/03/2022,1000000,Camerún
-,Georges Mandjeck,Pivote,34,09/12/1988,"1,85",derecho,50,-,14/10/2009,200000,Camerún
-,Martial Zemba Ikoung,Pivote,24,18/02/1999,"1,85",derecho,1,-,09/11/2022,-,Camerún
-,Félix Oukiné,Pivote,23,26/12/1999,-,,6,1,16/01/2021,-,Camerún
-,Djawal Kaiba,Pivote,20,08/02/2003,-,,3,2,28/08/2022,-,Camerún
-,Yannick Noah,Pivote,19,11/03/2004,"1,80",izquierdo,-,-,-,-,Camerún
-,Iyendjock Joseph,Pivote,20,29/05/2003,-,,-,-,-,-,Camerún
-,Olivier Ntcham,Mediocentro,27,09/02/1996,"1,80",derecho,2,-,23/09/2022,2800000,Camerún
-,Pierre Kunde,Mediocentro,27,26/07/1995,"1,80",derecho,31,1,27/05/2018,2000000,Camerún
-,Louis Enjonaei Mbah,Mediocentro ofensivo,26,01/04/1997,"1,87",izquierdo,1,-,09/11/2022,-,Camerún
-,Harisson Djonkep,Mediocentro ofensivo,21,04/08/2001,-,,-,-,-,-,Camerún
-,Georges-Kevin N'Koudou,Extremo izquierdo,28,13/02/1995,"1,72",derecho,1,-,23/09/2022,5500000,Camerún
-,Nicolas Moumi Ngamaleu,Extremo izquierdo,28,09/07/1994,"1,81",derecho,41,4,23/12/2015,4700000,Camerún
12,Jerome Ngom Mbekeli,Extremo izquierdo,24,30/09/1998,"1,75",ambidiestro,2,-,04/09/2022,125000,Camerún
-,Valentin Batto,Extremo izquierdo,26,10/10/1996,"1,72",derecho,1,-,09/11/2022,-,Camerún
-,Patient Gouegoue Wassou,Extremo izquierdo,19,22/04/2004,-,,3,-,28/08/2022,-,Camerún
-,Bryan Mbeumo,Extremo derecho,23,07/08/1999,"1,71",izquierdo,2,-,23/09/2022,28000000,Camerún
10,Vincent Aboubakar,Delantero centro,31,22/01/1992,"1,84",derecho,89,33,29/05/2010,7000000,Camerún
-,Jean-Pierre Nsame,Delantero centro,30,01/05/1993,"1,88",derecho,4,-,04/09/2017,4000000,Camerún
-,Léandre Tawamba,Delantero centro,33,20/12/1989,"1,89",derecho,8,-,25/03/2018,2000000,Camerún
-,Kemajou Dibami,Delantero centro,27,04/12/1995,"1,93",derecho,1,-,09/11/2022,-,Camerún
11,Souaibou Marou,Delantero centro,22,03/12/2000,"1,82",izquierdo,3,1,04/09/2022,-,Camerún
-,Amir Abedzadeh,Portero,30,26/04/1993,"1,85",derecho,11,-,19/05/2018,1500000,Irán
1,Alireza Beiranvand,Portero,30,21/09/1992,"1,94",derecho,52,-,20/12/2014,1000000,Irán
22,Mohammadreza Akhbari,Portero,30,15/02/1993,"1,91",derecho,-,-,-,600000,Irán
30,Hossein Hosseini,Portero,31,30/06/1992,"1,89",derecho,6,-,17/03/2018,525000,Irán
12,Payam Niazmand,Portero,28,06/04/1995,"1,94",derecho,1,-,08/10/2020,500000,Irán
-,Majid Hosseini,Defensa central,27,20/06/1996,"1,87",derecho,18,-,19/05/2018,3000000,Irán
13,Hossein Kanaani,Defensa central,29,23/03/1994,"1,88",derecho,35,2,11/06/2015,2000000,Irán
8,Morteza Pouraliganji,Defensa central,31,19/04/1992,"1,87",derecho,46,3,18/11/2014,700000,Irán
3,Saman Fallah,Defensa central,22,12/05/2001,"1,91",derecho,-,-,-,675000,Irán
4,Shoja Khalilzadeh,Defensa central,34,14/05/1989,"1,83",derecho,24,1,05/07/2009,300000,Irán
2,Sina Abdollahi,Defensa central,22,15/04/2001,"1,82",derecho,-,-,-,125000,Irán
-,Milad Mohammadi,Lateral izquierdo,29,29/09/1993,"1,78",izquierdo,45,1,11/06/2015,2000000,Irán
21,Omid Noorafkan,Lateral izquierdo,26,09/04/1997,"1,82",izquierdo,15,-,17/03/2018,1000000,Irán
-,Ehsan Hajsafi,Lateral izquierdo,33,25/02/1990,"1,78",izquierdo,114,6,25/05/2008,800000,Irán
5,Abolfazl Jalali,Lateral izquierdo,25,26/06/1998,"1,77",izquierdo,3,-,30/03/2021,400000,Irán
9,Mohammadmehdi Ahmadi,Lateral izquierdo,22,10/01/2001,"1,80",izquierdo,-,-,-,325000,Irán
-,Sadegh Moharrami,Lateral derecho,27,01/03/1996,"1,74",derecho,21,2,11/09/2018,2000000,Irán
-,Saleh Hardani,Lateral derecho,24,14/09/1998,"1,76",derecho,2,-,02/09/2021,600000,Irán
23,Ramin Rezaeian,Lateral derecho,33,21/03/1990,"1,85",derecho,46,2,04/01/2015,450000,Irán
20,Saman Touranian,Lateral derecho,21,12/12/2001,-,derecho,1,-,10/11/2022,175000,Irán
14,Milad Sarlak,Pivote,28,26/03/1995,"1,81",derecho,11,-,11/06/2021,900000,Irán
6,Roozbeh Cheshmi,Pivote,30,24/06/1993,"1,92",derecho,19,1,31/08/2017,500000,Irán
-,Saeid Ezatolahi,Pivote,26,01/10/1996,"1,90",derecho,46,1,11/06/2015,400000,Irán
19,Mohammad Ghorbani,Pivote,22,21/05/2001,"1,86",derecho,-,-,-,300000,Irán
