#,País,Jugadores en la plantilla,Confederación,Puntos
1,Brasil,26,CONMEBOL,1841
2,Bélgica,29,UEFA,1817
3,Argentina,26,CONMEBOL,1774
4,Francia,23,UEFA,1760
5,Inglaterra,29,UEFA,1728
6,Italia,29,UEFA,1726
7,España,25,UEFA,1715
8,Países Bajos,23,UEFA,1695
9,Portugal,23,UEFA,1677
10,Dinamarca,26,UEFA,1667
11,Alemania,23,UEFA,1650
12,Croacia,25,UEFA,1646
13,México,32,CONCACAF,1645
14,Uruguay,26,CONMEBOL,1639
15,Suiza,23,UEFA,1636
16,Estados Unidos,25,CONCACAF,1627
17,Colombia,26,CONMEBOL,1611
18,Senegal,26,CAF,1584
19,Gales,27,UEFA,1570
20,Irán,31,AFC,1565
21,Serbia,27,UEFA,1564
22,Marruecos,27,CAF,1564
23,Perú,27,CONMEBOL,1561
24,Japón,30,AFC,1560
25,Suecia,24,UEFA,1553
26,Polonia,26,UEFA,1549
27,Ucrania,24,UEFA,1537
28,Corea del Sur,26,AFC,1530
29,Chile,26,CONMEBOL,1510
30,Túnez,30,CAF,1508
31,Costa Rica,25,CONCACAF,1504
32,Nigeria,27,CAF,1498
33,Rusia,28,UEFA,1496
34,Austria,24,UEFA,1493
35,República Checa,24,UEFA,1492
36,Hungría,23,UEFA,1492
37,Argelia,25,CAF,1489
38,Australia,31,AFC,1489
39,Egipto,27,CAF,1486
40,Escocia,32,UEFA,1480
41,Canadá,25,CONCACAF,1475
42,Noruega,25,UEFA,1473
43,Camerún,26,CAF,1471
44,Ecuador,28,CONMEBOL,1464
45,Turquía,23,UEFA,1460
46,Malí,25,CAF,1449
47,Paraguay,25,CONMEBOL,1449
48,Costa de Marfil,34,CAF,1443
49,Irlanda,24,UEFA,1440
50,Catar,26,AFC,1440
51,Arabia Saudita,25,AFC,1438
52,Grecia,27,UEFA,1438
53,Rumanía,27,UEFA,1435
54,Burkina Faso,37,CAF,1432
55,Eslovaquia,27,UEFA,1426
56,Finlandia,26,UEFA,1406
57,Venezuela,27,CONMEBOL,1404
58,Bosnia,27,UEFA,1404
59,Irlanda Norte,28,UEFA,1397
60,Panamá,17,CONCACAF,1393
61,Ghana,28,CAF,1393
62,Islandia,23,UEFA,1384
63,Eslovenia,23,UEFA,1384
64,Jamaica,22,CONCACAF,1379
65,Macedonia d. N.,21,UEFA,1359
66,Albania,23,UEFA,1354
67,Sudáfrica,26,CAF,1350
68,Irak,46,AFC,1343
69,Montenegro,28,UEFA,1341
70,E. Á. U.,24,AFC,1338
71,Cabo Verde,36,CAF,1336
72,Bulgaria,23,UEFA,1335
73,RD Congo,28,CAF,1334
74,El Salvador,30,CONCACAF,1331
75,Omán,23,AFC,1320
51,Arabia Saudita,25,AFC,1438
52,Grecia,27,UEFA,1438
53,Rumanía,27,UEFA,1435
54,Burkina Faso,37,CAF,1432
55,Eslovaquia,27,UEFA,1426
56,Finlandia,26,UEFA,1406
57,Venezuela,27,CONMEBOL,1404
58,Bosnia,27,UEFA,1404
59,Irlanda Norte,28,UEFA,1397
60,Panamá,17,CONCACAF,1393
61,Ghana,28,CAF,1393
62,Islandia,23,UEFA,1384
63,Eslovenia,23,UEFA,1384
64,Jamaica,22,CONCACAF,1379
65,Macedonia d. N.,21,UEFA,1359
66,Albania,23,UEFA,1354
67,Sudáfrica,26,CAF,1350
68,Irak,46,AFC,1343
69,Montenegro,28,UEFA,1341
70,E. Á. U.,24,AFC,1338
71,Cabo Verde,36,CAF,1336
72,Bulgaria,23,UEFA,1335
73,RD Congo,28,CAF,1334
74,El Salvador,30,CONCACAF,1331
75,Omán,23,AFC,1320
76,Israel,18,UEFA,1317
77,Uzbekistán,23,AFC,1310
78,Georgia,24,UEFA,1307
79,China,24,AFC,1305
80,Honduras,23,CONCACAF,1302
81,Gabón,31,CAF,1302
82,Bolivia,26,CONMEBOL,1296
83,Guinea,23,CAF,1290
84,Jordania,25,AFC,1290
85,Baréin,23,AFC,1281
86,Curazao,22,CONCACAF,1279
87,Haití,23,CONCACAF,1269
88,Zambia,26,CAF,1267
89,Uganda,40,CAF,1261
90,Siria,23,AFC,1256
91,Benín,24,CAF,1247
92,Luxemburgo,24,UEFA,1244
93,Armenia,25,UEFA,1234
94,Palestina,23,AFC,1234
95,Kirguistán,25,AFC,1230
96,Vietnam,31,AFC,1227
97,Bielorrusia,24,UEFA,1221
98,Guinea Ecuat.,21,CAF,1216
99,Líbano,24,AFC,1212
100,Congo,30,CAF,1209
101,Kenia,24,CAF,1202
102,Madagascar,33,CAF,1201
103,Mauritania,25,CAF,1198
104,Trinidad,20,CONCACAF,1195
105,Nueva Zelanda,26,OFC,1194
106,India,24,AFC,1192
107,Kosovo,25,UEFA,1187
108,Tayikistán,22,AFC,1186
109,Estonia,26,UEFA,1185
110,Chipre,25,UEFA,1184
111,Tailandia,23,AFC,1175
112,Corea del Norte,23,AFC,1170
113,Kazajistán,27,UEFA,1167
114,Mozambique,25,CAF,1165
115,Namibia,23,CAF,1164
116,Guinea-Bisáu,16,CAF,1161
117,Sierra Leona,24,CAF,1160
118,Guatemala,20,CONCACAF,1157
119,Angola,34,CAF,1156
120,Libia,31,CAF,1154
121,Níger,29,CAF,1153
122,Islas Feroe,24,UEFA,1147
123,Azerbaiyán,27,UEFA,1147
124,Malaui,25,CAF,1145
125,Zimbabue,27,CAF,1139
126,Gambia,25,CAF,1137
127,Togo,28,CAF,1129
128,Sudán,30,CAF,1127
129,Comoras,24,CAF,1123
130,Tanzania,28,CAF,1120
131,Antigua y Barb.,24,CONCACAF,1117
132,África Central,27,CAF,1117
133,Filipinas,25,AFC,1115
134,Letonia,23,UEFA,1114
135,Turkmenistán,23,AFC,1100
136,Islas Salomón,21,OFC,1096
137,Ruanda,30,CAF,1094
138,Etiopía,23,CAF,1091
139,Surinam,22,CONCACAF,1077
140,St. Kitts/Nevis,25,CONCACAF,1077
141,Burundi,31,CAF,1076
142,Nicaragua,23,CONCACAF,1072
144,Lituania,24,UEFA,1070
145,Hong Kong,25,AFC,1062
146,Malasia,24,AFC,1062
147,Lesoto,23,CAF,1061
148,Botsuana,22,CAF,1056
149,Kuwait,22,AFC,1053
150,Liberia,38,CAF,1050
151,Andorra,23,UEFA,1035
152,Indonesia,23,AFC,1034
153,Rep. Dominicana,17,CONCACAF,1032
154,Maldivas,23,AFC,1026
155,Yemen,24,AFC,1024
156,Afganistán,23,AFC,1023
157,C. Taipéi,24,AFC,1018
158,Myanmar,21,AFC,1008
159,Papúa N. Guinea,25,OFC,1007
160,Singapur,23,AFC,1004
161,Nueva Caledonia,18,OFC,996
162,Tahití,23,OFC,995
163,Fiyi,21,OFC,989
164,Vanuatu,24,OFC,986
165,Sudán del Sur,24,CAF,984
166,Barbados,23,CONCACAF,982
167,Cuba,23,CONCACAF,979
168,Malta,24,UEFA,978
169,Bermudas,30,CONCACAF,977
170,Puerto Rico,16,CONCACAF,974
171,Guyana,24,CONCACAF,969
172,Santa Lucía,31,CONCACAF,966
173,Granada,21,CONCACAF,964
174,Moldavia,27,UEFA,961
175,Nepal,24,AFC,955
176,Belice,23,CONCACAF,951
177,Camboya,24,AFC,949
178,San Vicente,19,CONCACAF,945
179,Montserrat,24,CONCACAF,941
180,Mauricio,32,CAF,932
181,Chad,25,CAF,930
182,Macao,23,AFC,922
183,Mongolia,23,AFC,914
184,Dominica,22,CONCACAF,912
185,Bután,28,AFC,911
186,Santo Tomé y P.,26,CAF,908
187,Laos,23,AFC,906
188,Samoa A.,21,OFC,900
189,Islas Cook,21,OFC,899
190,Brunéi,28,AFC,898
191,Samoa,23,OFC,894
192,Bangladés,23,AFC,884
193,Yibuti,29,CAF,875
194,Pakistán,19,AFC,867
195,Islas Caimán,32,CONCACAF,866
196,Liechtenstein,23,UEFA,862
197,Tonga,18,OFC,862
198,Timor-Leste,25,AFC,860
199,Seychelles,25,CAF,860
200,Eritrea,23,CAF,856
201,Aruba,23,CONCACAF,855
202,Bahamas,19,CONCACAF,855
203,Somalia,24,CAF,855
204,Gibraltar,23,UEFA,852
205,Guam,22,AFC,838
206,Turcas y Caicos,26,CONCACAF,832
207,Sri Lanka,36,AFC,825
208,Vírgenes A.,30,CONCACAF,824
209,Vírgenes B.,25,CONCACAF,809
210,Anguila,22,CONCACAF,791
211,San Marino,25,UEFA,762
